station_id,indexes,nearest_forecast_long,nearest_forecast_lat,long,forecast,lat,year,month,day,hour
SN11690,[349 314],10.647163369985853,60.61862606618399,10.6308,263.06653,60.6125,2019.0,01,31,18
SN18410,[319 315],10.782870089327545,59.94786498200095,10.798,267.28235,59.941,2019.0,01,31,18
SN89350,[723 466],18.5649865476381,69.05143238238597,18.5437,252.6515,69.0577,2019.0,01,31,18
SN57790,[409 203],5.200128794598413,61.68577301191607,5.2007,268.39758,61.6788,2019.0,01,31,18
SN40250,[292 239],7.537218952654154,59.18943360203888,7.5273,267.24426,59.1972,2019.0,01,31,18
SN49240,[328 222],6.593350179689149,59.94433374694728,6.5832,269.73547,59.9487,2019.0,01,31,18
SN5350,[338 333],11.54295546551178,60.39789143655603,11.558,265.61243,60.3883,2019.0,01,31,18
SN26990,[305 301],10.203708206712427,59.612342896638445,10.215,267.85266,59.6193,2019.0,01,31,18
SN55520,[388 244],7.249016163562893,61.34349446555494,7.2623,268.46204,61.345,2019.0,01,31,18
SN50505,[349 198],5.3892064736740695,60.3360476890616,5.3713,273.69934,60.3452,2019.0,01,31,18
SN83710,[677 427],16.0787749958357,68.05442069103832,16.0838,269.15637,68.0472,2019.0,01,31,18
SN64510,[455 271],8.174600411639336,62.90866045898478,8.1862,272.51575,62.9133,2019.0,01,31,18
SN17650,[304 313],10.737940102928214,59.60890829717387,10.7395,267.9718,59.6002,2019.0,01,31,18
SN30330,[289 285],9.556326170182695,59.225865654726995,9.5772,269.44153,59.2268,2019.0,01,31,18
SN71385,[486 315],10.227717655021525,63.69197339020139,10.2425,267.31262,63.6965,2019.0,01,31,18
SN59695,[427 229],6.306093834079039,62.169992776996246,6.2877,268.7345,62.16,2019.0,01,31,18
SN13750,[388 279],8.882001511680874,61.428162507243414,8.8945,260.1925,61.4183,2019.0,01,31,18
SN20470,[334 310],10.512352021493209,60.276330978755155,10.5295,265.6339,60.2822,2019.0,01,31,18
SN96650,[802 597],27.58674705925855,70.4375022587297,27.5915,261.12903,70.4275,2019.0,01,31,18
SN99790,[948 396],13.958484668446756,74.0767711965383,13.6192,275.1222,78.0625,2019.0,01,31,18
SN27785,[283 297],10.101034000881373,59.11331773928927,10.1062,269.45813,59.107,2019.0,01,31,18
SN68230,[473 318],10.426371995377881,63.40537560632871,10.4228,269.5265,63.3987,2019.0,01,31,18
SN91530,[744 496],20.54656291899459,69.47195393175672,20.5787,265.8048,69.4818,2019.0,01,31,18
SN91180,[762 488],20.130152691622605,69.88706905663422,20.1387,268.5558,69.8915,2019.0,01,31,18
SN9303,[422 296],9.54257747144837,62.22368560197622,9.5317,258.80872,62.2318,2019.0,01,31,18
SN3480,[300 329],11.456518371580252,59.541076903970726,11.4535,266.76282,59.546,2019.0,01,31,18
SN41090,[241 231],7.450865884019769,58.03291830492427,7.4517,274.23645,58.0247,2019.0,01,31,18
SN67560,[454 319],10.542561156501648,62.980831331925614,10.5608,266.08997,62.9763,2019.0,01,31,18
SN26810,[312 295],9.913769978393967,59.75866790617959,9.9155,266.98938,59.7688,2019.0,01,31,18
SN30246,[281 293],9.933652037735506,59.06164089137158,9.9418,269.01965,59.0645,2019.0,01,31,18
SN90510,[750 471],18.981338020871963,69.64684055009367,19.0065,266.4259,69.6508,2019.0,01,31,18
SN41990,[251 220],6.936126953004837,58.225482600668684,6.9238,271.4132,58.2205,2019.0,01,31,18
SN47445,[317 195],5.469007056445366,59.615519622415846,5.4848,274.9005,59.625,2019.0,01,31,18
SN30650,[305 279],9.231426804893418,59.57182446337709,9.2105,266.9464,59.5667,2019.0,01,31,18
SN55735,[389 236],6.8711879622105165,61.34365421420995,6.8745,263.72668,61.3473,2019.0,01,31,18
SN40510,[300 225],6.884755156043382,59.32966114376998,6.8817,262.7599,59.3335,2019.0,01,31,18
SN91120,[747 490],20.18115199076213,69.54985671951628,20.15185,267.50403,69.5599107,2019.0,01,31,18
SN90360,[746 472],19.029307666811675,69.55634284860778,19.0087,267.005,69.5463,2019.0,01,31,18
SN50310,[349 211],5.973359665653502,60.37821215207361,5.964,268.7423,60.3887,2019.0,01,31,18
SN76938,[230 118],2.8381006650470435,57.40278833866465,2.8458,276.30188,57.408,2019.0,01,31,18
SN58860,[415 223],6.099656769731342,61.884360559924474,6.1065,268.97278,61.8902,2019.0,01,31,18
SN50175,[336 192],5.209545833757118,60.027177676140724,5.2038,275.35168,60.0167,2019.0,01,31,18
SN63705,[439 300],9.666940226042488,62.61206893281606,9.6667,264.97864,62.6043,2019.0,01,31,18
SN27055,[303 300],10.166126814048607,59.565900332707066,10.181,267.3546,59.5735,2019.0,01,31,18
SN35210,[274 271],9.006300015508527,58.86282588905432,9.0263,267.6056,58.87,2019.0,01,31,18
SN91715,[768 499],20.876222362562274,69.99942495794822,20.8985,267.90833,70.0033,2019.0,01,31,18
SN46930,[311 200],5.726845231262002,59.498642061211136,5.7208,273.3761,59.4927,2019.0,01,31,18
SN5660,[331 345],12.102374111009317,60.25417849125061,12.0913,265.38293,60.2537,2019.0,01,31,18
SN66175,[466 304],9.754256714312266,63.22444422999553,9.7628,268.5255,63.2307,2019.0,01,31,18
SN50770,[355 199],5.3935563757054465,60.47265334920497,5.3888,273.66125,60.4612,2019.0,01,31,18
SN76923,[399 138],2.272122927033247,61.20975479000582,2.2687,277.42102,61.2042,2019.0,01,31,18
SN18920,[320 313],10.690401475222654,59.96729304666326,10.671,266.29797,59.9573,2019.0,01,31,18
SN94230,[789 526],22.789345386078594,70.4010495382814,22.8177,265.54504,70.4107,2019.0,01,31,18
SN12030,[345 327],11.252063288557332,60.54733123511289,11.2502,265.6388,60.5545,2019.0,01,31,18
SN2980,[281 324],11.284099198208477,59.10909391867173,11.2753,271.73645,59.1105,2019.0,01,31,18
SN98790,[793 634],29.846222331676103,70.066881487598,29.8352,267.85266,70.0653,2019.0,01,31,18
SN60310,[423 247],7.189845852325948,62.13259423910571,7.1848,266.50305,62.1362,2019.0,01,31,18
SN34130,[273 284],9.571787034522544,58.86634624278823,9.5745,274.67004,58.8565,2019.0,01,31,18
SN68860,[473 319],10.476468300111193,63.40696457728516,10.4538,269.35657,63.4107,2019.0,01,31,18
SN50540,[351 197],5.330741772326141,60.37710907397123,5.3327,273.5841,60.383,2019.0,01,31,18
SN18950,[321 313],10.687395127918963,59.9896953930563,10.6693,265.56262,59.9847,2019.0,01,31,18
SN44780,[282 201],5.950485154525668,58.85780530234852,5.9622,271.15735,58.8642,2019.0,01,31,18
SN92860,[778 520],22.310585453220437,70.17328675638971,22.3413,267.28235,70.1728,2019.0,01,31,18
SN13390,[390 305],10.093162492161749,61.52298381233364,10.0747,264.15637,61.5298,2019.0,01,31,18
SN85380,[681 403],14.639501113491152,68.146978021411,14.6485,273.5763,68.1535,2019.0,01,31,18
SN76920,[190 120],3.2224724059775154,56.53188530689169,3.2244,276.2843,56.5434,2019.0,01,31,18
SN9380,[426 292],9.333382537646605,62.30550599792219,9.352,258.23352,62.2958,2019.0,01,31,18
SN16611,[418 290],9.271449718764952,62.12238544231088,9.28625,261.9171,62.1125,2019.0,01,31,18
SN18280,[321 318],10.911402174445843,59.997023762619044,10.9287,265.88977,59.9865,2019.0,01,31,18
SN51610,[359 223],6.453630290189711,60.63745984031211,6.4355,271.0255,60.6438,2019.0,01,31,18
SN41795,[245 226],7.220410074243863,58.10857917700268,7.2092,272.6095,58.111,2019.0,01,31,18
SN15050,[407 275],8.606329230071523,61.8444691056791,8.5845,263.9181,61.8412,2019.0,01,31,18
SN93000,[798 520],22.46277474105705,70.61587808914642,22.4428,263.61633,70.607,2019.0,01,31,18
SN61410,[436 261],7.788978276125413,62.459540920110015,7.7703,265.6681,62.4555,2019.0,01,31,18
SN93700,[727 537],23.003088439631412,68.99790130046433,23.0335,246.13979,68.9968,2019.0,01,31,18
SN27730,[286 300],10.22204238454985,59.18548958836275,10.2077,269.37317,59.1828,2019.0,01,31,18
SN75550,[552 334],10.980507161859814,65.20105801961135,10.9965,272.93762,65.2023,2019.0,01,31,18
SN68175,[473 318],10.426371995377881,63.40537560632871,10.4388,269.5265,63.4078,2019.0,01,31,18
SN16560,[416 287],9.1365709589279,62.07153692590061,9.1147,263.3224,62.07165,2019.0,01,31,18
SN43350,[264 197],5.888989442654308,58.445618965619204,5.8718,273.80188,58.4353,2019.0,01,31,18
SN99765,[948 407],14.840149146206915,74.07903063215082,14.7578,274.97668,77.6873,2019.0,01,31,18
SN72580,[519 343],11.556494155055637,64.4724825895682,11.5705,267.3341,64.4708,2019.0,01,31,18
SN26450,[340 281],9.179493737457788,60.358509793243,9.186,261.67493,60.3667,2019.0,01,31,18
SN69380,[472 344],11.733060660928263,63.418549846275134,11.7277,267.26965,63.4115,2019.0,01,31,18
SN4460,[326 317],10.852121528372965,60.107627674814886,10.829,266.1632,60.1173,2019.0,01,31,18
SN66150,[470 306],9.837740429070598,63.3177160371666,9.8495,267.5763,63.3153,2019.0,01,31,18
SN54110,[377 248],7.495222087366624,61.108671945956935,7.5025,269.5265,61.1033,2019.0,01,31,18
SN81420,[630 407],14.885526871650402,67.00457457168045,14.8982,263.74426,67.0042,2019.0,01,31,18
SN87315,[702 421],15.736492286200114,68.61572789892867,15.7593,267.9425,68.6178,2019.0,01,31,18
SN93900,[717 547],23.538643886255294,68.74751440912067,23.5387,250.51772,68.7553,2019.0,01,31,18
SN12050,[348 328],11.289768010368176,60.615910371693495,11.2997,264.2931,60.6215,2019.0,01,31,18
SN82210,[643 402],14.593797203226284,67.29559111890873,14.5932,267.005,67.2878,2019.0,01,31,18
SN33950,[320 235],7.215179393993871,59.802795251538164,7.2143,263.02454,59.8118,2019.0,01,31,18
SN76937,[379 164],3.630644871551672,60.8770237526095,3.6097,276.76575,60.8858,2019.0,01,31,18
SN18315,[318 314],10.741101834966608,59.92398315026674,10.7623,268.07825,59.919,2019.0,01,31,18
SN41005,[243 235],7.609303574769253,58.08781077433852,7.6202,273.29114,58.086,2019.0,01,31,18
SN24820,[348 281],9.146468698376362,60.537460636929005,9.1548,264.4425,60.5325,2019.0,01,31,18
SN44567,[289 195],5.649053977729859,58.99401396148311,5.6545,273.67883,58.9908,2019.0,01,31,18
SN17400,[298 314],10.799588127426304,59.476013838042164,10.79,268.67493,59.4765,2019.0,01,31,18
SN4920,[326 329],11.391963839997086,60.123868365925695,11.3933,265.45618,60.1268,2019.0,01,31,18
SN87120,[730 425],16.008779537964887,69.24034310609495,16.003,269.3136,69.2413,2019.0,01,31,18
SN74670,[544 377],13.294746822429454,65.06446631256789,13.3025,260.62317,65.0627,2019.0,01,31,18
SN76931,[368 164],3.7192733746152196,60.63371824464655,3.7193,276.51868,60.6435,2019.0,01,31,18
SN96400,[833 600],28.202555524391215,71.10024621567902,28.217,269.13098,71.0888,2019.0,01,31,18
SN76922,[403 130],1.8687366382837753,61.26192943891957,1.8522,277.42102,61.2553,2019.0,01,31,18
SN76330,[562 358],12.24193993272073,65.45379658166704,12.2182,270.93567,65.4567,2019.0,01,31,18
SN96310,[829 595],27.811820337428387,71.0354556804263,27.8298,265.54895,71.033,2019.0,01,31,18
SN84880,[693 458],17.97864540844063,68.390523473767,17.966,268.20618,68.3995,2019.0,01,31,18
SN11060,[337 329],11.363939506698003,60.37051284993337,11.3588,265.4005,60.3712,2019.0,01,31,18
SN76934,[401 129],1.8419664359581185,61.21335820309804,1.8288,277.42102,61.2063,2019.0,01,31,18
SN57770,[406 191],4.66154023347465,61.57710493486612,4.6817,274.9347,61.5717,2019.0,01,31,18
SN52360,[368 206],5.623113134850733,60.78464018155739,5.6238,268.60754,60.7915,2019.0,01,31,18
SN53230,[369 237],7.033512438991962,60.900550481696065,7.0557,261.964,60.8935,2019.0,01,31,18
SN5590,[328 343],12.018237332283308,60.1848242314689,12.0067,263.57336,60.1903,2019.0,01,31,18
SN92500,[775 511],21.701832905396053,70.12862559515442,21.7223,264.52747,70.1227,2019.0,01,31,18
SN75220,[536 336],11.138866512895904,64.84498595061854,11.1408,269.8673,64.835,2019.0,01,31,18
SN24350,[325 299],10.046942010495835,60.05664997521309,10.049,267.1593,60.0518,2019.0,01,31,18
SN60850,[438 233],6.426588117357439,62.427099507008805,6.4325,274.01086,62.4317,2019.0,01,31,18
SN49420,[336 224],6.635733808349511,60.12827937613758,6.6293,266.85657,60.128,2019.0,01,31,18
